"REF_DATE","GEO","DGUID","Type of property","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Canada","2016A000011124","Residential","Dollars","81","millions","6","v65583427","1.1","2342865.3","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Residential","Dollars","81","millions","6","v65583380","2.1","18494.1","","","","1"
"2005","Prince Edward Island","2016A000211","Residential","Dollars","81","millions","6","v65583382","3.1","4332.9","","","","1"
"2005","Nova Scotia","2016A000212","Residential","Dollars","81","millions","6","v65583383","4.1","44301.1","","","","1"
"2005","New Brunswick","2016A000213","Residential","Dollars","81","millions","6","v65583385","5.1","22649.0","","","","1"
"2005","Quebec","2016A000224","Residential","Dollars","81","millions","6","v65583388","6.1","405304.6","","","","1"
"2005","Ontario","2016A000235","Residential","Dollars","81","millions","6","v65583395","7.1","1030226.2","","","","1"
"2005","Manitoba","2016A000246","Residential","Dollars","81","millions","6","v65583411","8.1","49302.3","","","","1"
"2005","Saskatchewan","2016A000247","Residential","Dollars","81","millions","6","v65583413","9.1","36524.9","","","","1"
"2005","Alberta","2016A000248","Residential","Dollars","81","millions","6","v65583416","10.1","244114.6","","","","1"
"2005","British Columbia","2016A000259","Residential","Dollars","81","millions","6","v65583419","11.1","483940.9","","","","1"
"2005","Yukon","2016A000260","Residential","Dollars","81","millions","6","v65583424","12.1","1231.9","","","","1"
"2005","Northwest Territories","2016A000261","Residential","Dollars","81","millions","6","v65583425","13.1","1824.8","","","","1"
"2005","Nunavut","2016A000262","Residential","Dollars","81","millions","6","v65583426","14.1","617.9","","","","1"
"2005","Total census metropolitan areas","","Residential","Dollars","81","millions","6","v65583378","15.1","1772106.3","","","","1"
"2005","St. John's, Newfoundland and Labrador","2011S0503001","Residential","Dollars","81","millions","6","v65583381","16.1","8608.7","","","","1"
"2005","Halifax, Nova Scotia","2011S0503205","Residential","Dollars","81","millions","6","v65583384","17.1","22797.2","","","","1"
"2005","Saint John, New Brunswick","2011S0503310","Residential","Dollars","81","millions","6","v65583387","18.1","4198.9","","","","1"
"2005","Moncton, New Brunswick","2011S0503305","Residential","Dollars","81","millions","6","v65583386","19.1","4708.7","","","","1"
"2005","Montréal, Quebec","2011S0503462","Residential","Dollars","81","millions","6","v65583393","20.1","232470.6","","","","1"
"2005","Québec, Quebec","2011S0503421","Residential","Dollars","81","millions","6","v65583390","21.1","34624.6","","","","1"
"2005","Saguenay, Quebec","2011S0503408","Residential","Dollars","81","millions","6","v65583389","22.1","5357.8","","","","1"
"2005","Sherbrooke, Quebec","2011S0503433","Residential","Dollars","81","millions","6","v65583391","23.1","9033.3","","","","1"
"2005","Trois-Rivières, Quebec","2011S0503442","Residential","Dollars","81","millions","6","v65583392","24.1","4941.8","","","","1"
"2005","Barrie, Ontario","2011S0503568","Residential","Dollars","81","millions","6","v65583408","25.1","14304.2","","","","1"
"2005","Brantford, Ontario","2011S0503543","Residential","Dollars","81","millions","6","v65583404","26.1","7570.8","","","","1"
"2005","Greater Sudbury, Ontario","2011S0503580","Residential","Dollars","81","millions","6","v65583409","27.1","6727.1","","","","1"
"2005","Guelph, Ontario","2011S0503550","Residential","Dollars","81","millions","6","v65583405","28.1","9849.8","","","","1"
"2005","Hamilton, Ontario","2011S0503537","Residential","Dollars","81","millions","6","v65583401","29.1","52360.2","","","","1"
"2005","Kingston, Ontario","2011S0503521","Residential","Dollars","81","millions","6","v65583397","30.1","10920.0","","","","1"
"2005","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Residential","Dollars","81","millions","6","v65583403","31.1","30961.4","","","","1"
"2005","London, Ontario","2011S0503555","Residential","Dollars","81","millions","6","v65583406","32.1","28600.4","","","","1"
"2005","Oshawa, Ontario","2011S0503532","Residential","Dollars","81","millions","6","v65583399","33.1","25157.0","","","","1"
"2005","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Residential","Dollars","81","millions","6","v65583379","34.1","90097.5","","","","1"
