X,00:00:10:000,Root,Root,controlin,20,top
X,00:00:10:000,top,top,controlin,20,sender
Y,00:00:20:000,sender,sender,dataout,11,top
Y,00:00:20:000,sender,sender,packetsent,1,top
X,00:00:20:000,top,top,in1,11,network
Y,00:00:20:000,top,top,packetsent,1,Root
X,00:00:20:000,network,network,in,11,subnet1
Y,00:00:22:987,subnet1,subnet1,out,11,network
Y,00:00:22:987,network,network,out1,11,top
X,00:00:22:987,top,top,in,11,receiver
Y,00:00:32:987,receiver,receiver,out,1,top
X,00:00:32:987,top,top,in2,1,network
X,00:00:32:987,network,network,in,1,subnet2
Y,00:00:50:000,sender,sender,dataout,11,top
Y,00:00:50:000,sender,sender,packetsent,1,top
X,00:00:50:000,top,top,in1,11,network
Y,00:00:50:000,top,top,packetsent,1,Root
X,00:00:50:000,network,network,in,11,subnet1
Y,00:00:51:957,subnet1,subnet1,out,11,network
Y,00:00:51:957,network,network,out1,11,top
X,00:00:51:957,top,top,in,11,receiver
Y,00:01:01:957,receiver,receiver,out,1,top
X,00:01:01:957,top,top,in2,1,network
X,00:01:01:957,network,network,in,1,subnet2
Y,00:01:04:992,subnet2,subnet2,out,1,network
Y,00:01:04:992,network,network,out2,1,top
X,00:01:04:992,top,top,ackin,1,sender
Y,00:01:04:992,sender,sender,ackreceived,1,top
Y,00:01:04:992,top,top,ackreceived,1,Root
Y,00:01:14:992,sender,sender,dataout,20,top
Y,00:01:14:992,sender,sender,packetsent,2,top
X,00:01:14:992,top,top,in1,20,network
Y,00:01:14:992,top,top,packetsent,2,Root
X,00:01:14:992,network,network,in,20,subnet1
Y,00:01:17:174,subnet1,subnet1,out,20,network
Y,00:01:17:174,network,network,out1,20,top
X,00:01:17:174,top,top,in,20,receiver
Y,00:01:27:174,receiver,receiver,out,0,top
X,00:01:27:174,top,top,in2,0,network
X,00:01:27:174,network,network,in,0,subnet2
Y,00:01:44:992,sender,sender,dataout,20,top
Y,00:01:44:992,sender,sender,packetsent,2,top
X,00:01:44:992,top,top,in1,20,network
Y,00:01:44:992,top,top,packetsent,2,Root
X,00:01:44:992,network,network,in,20,subnet1
Y,00:01:48:841,subnet1,subnet1,out,20,network
Y,00:01:48:841,network,network,out1,20,top
X,00:01:48:841,top,top,in,20,receiver
Y,00:01:58:841,receiver,receiver,out,0,top
X,00:01:58:841,top,top,in2,0,network
X,00:01:58:841,network,network,in,0,subnet2
Y,00:02:02:496,subnet2,subnet2,out,0,network
